commit	kv_dtype	d64	d512	d2048	d8192	d32768	e64	e512	e2048	e8192	e32768	geo	status	description
8ad5d0b2	bf16	0.000	0.000	0.000	0.000	0.000	1.329	1.024	1.023	1.010	1.004	1.092	keep	minimax bf16 decode GQA6 guarded single-row graph merge/store rerun; e64/e2048/e32768 and geo confirm, decode cuda-graph passes but unrelated extend guardrails fail
1af6d130	bf16	0.000	0.000	0.000	0.000	0.000	1.311	1.022	1.014	1.000	0.999	1.089	candidate	minimax bf16 decode-only guard on GQA6 single-row graph path; e64 clears +0.003 but mid/long floors trail 8ad5 probe, rerun before keep/revert
1af6d130	bf16	0.000	0.000	0.000	0.000	0.000	1.336	1.014	1.016	1.006	1.004	1.089	keep	minimax bf16 decode-only GQA6 single-row graph path rerun; e64/e32768 confirm as probe, decode cuda-graph passes while existing extend graph guardrails fail
7c320a66	bf16	0.000	0.000	0.000	0.000	0.000	1.307	1.023	1.016	1.012	1.003	1.090	candidate	minimax bf16 bs1-only GQA6 single-row graph path; e64/e32768/geo clear +0.003 while e8192 recovers, rerun before keep/revert
7c320a66	bf16	0.000	0.000	0.000	0.000	0.000	1.320	1.016	1.018	1.006	1.001	1.089	keep	minimax bf16 bs1-only GQA6 single-row graph path rerun; e64 confirms as narrower probe, decode cuda-graph single test passes; sudo ncu full bs2@16k fwd active stalls long_scoreboard/wait/barrier with persistent sleeping dominant, WPI 34.9, occ 20.8/14.5%, smem bank 6.7k, MIO 0.10; bs4@131k fwd active stalls long_scoreboard/wait/selected, WPI 40.8, occ 20.8/17.3%, smem bank 45.1k, MIO 0.06
03a468c6	bf16	0.000	0.000	0.000	0.000	0.000	1.104	1.019	1.012	1.011	1.012	1.079	discard	minimax bf16 decode merge pairloads bs1-4 harvested from rs-2 b6877289; check passes but local full rerun regresses active 7c320a66 geo 1.089 and rs-2 later marked high unreproduced, log=run.bf16.03a468c6.merge_pairloads_bs1_4.log
446cb952	bf16	0.000	0.000	0.000	0.000	0.000	1.342	1.018	1.014	1.011	1.006	1.090	candidate	minimax bf16 decode merge pairloads limited to bs2-4; restores bs1 single-row path and beats bs1-4 harvest, e8192/e32768 clear +0.003 over 7c320a66 but geo is only +0.001, rerun before keep/revert
446cb952	bf16	0.000	0.000	0.000	0.000	0.000	1.341	1.019	1.010	1.009	1.006	1.091	keep	minimax bf16 decode merge pairloads limited to bs2-4 rerun; e512/e8192/e32768 confirm at or above +0.003 over 7c320a66 and geo nudges up, while e2048 regresses and is the next target
27fc53c3	bf16	0.000	0.000	0.000	0.000	0.000	1.347	1.008	1.013	1.008	1.005	1.089	discard	minimax bf16 decode raise merge pairload threshold to 32; partially buys back e2048 but collapses e512 and drops geo back to 7c320a66, reverting
a3a93e15	bf16	0.000	0.000	0.000	0.000	0.000	1.345	1.014	1.006	1.006	1.005	1.088	discard	minimax bf16 decode skip merge pairloads for 31-way splits; targeted guard misses and worsens e2048/e8192 plus geo, reverting
108a3903	bf16	0.000	0.000	0.000	0.000	0.000	1.318	1.022	1.010	1.006	1.000	1.084	discard	minimax bf16 decode K-only producer warp with V consumer-issued; bs2@16k and bs4@131k improved, but e64/e32768 floors and geo regressed, reverting
cc9d81ad	bf16	0.000	0.000	0.000	0.000	0.000	1.327	1.016	1.014	1.007	1.001	1.087	candidate	minimax bf16 decode row0 late output normalization; e2048 clears +0.003 over active 446cb952 but e64/e32768 and geo regress, rerun before keep/revert
cc9d81ad	bf16	0.000	0.000	0.000	0.000	0.000	1.320	1.023	1.015	1.006	1.000	1.087	discard	minimax bf16 decode row0 late output normalization rerun; e512/e2048 lifts confirm but e32768 floor and geo regress versus active 446cb952, reverting
3873ab32	bf16	0.000	0.000	0.000	0.000	0.000	1.302	1.020	1.009	1.004	1.004	1.077	discard	minimax bf16 decode row0 merge pair tree fanout; extra premerge barrier/slot fanout collapses e64 and geo with no +0.003 cell, reverting
405af3fe	bf16	0.000	0.000	0.000	0.000	0.000	1.320	1.025	1.011	1.007	1.002	1.084	candidate	minimax bf16 decode merge unscaled CTA fold; e512 clears +0.003 over active 446cb952 but e64/e8192/e32768 and geo regress, rerun before keep/revert
405af3fe	bf16	0.000	0.000	0.000	0.000	0.000	1.321	1.017	1.013	1.006	0.998	1.082	discard	minimax bf16 decode merge unscaled CTA fold rerun; e2048 reaches +0.003 but e512 lift does not confirm and e32768 drops below parity, reverting
0060b9f7	bf16	0.000	0.000	0.000	0.000	0.000	1.325	1.017	1.010	1.006	0.999	1.082	discard	minimax bf16 decode cooperative persistent merge grid; direct-grid bypass removal regresses e64/e512/e8192/e32768 and has no +0.003 floor, reverting
4a0cec4d	bf16	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	crash	minimax bf16 decode row0 Q shared-memory bank rotate; checked benchmark timed out twice before profile rows after GPU startup, reverting
e9e3b69a	bf16	0.000	0.000	0.000	0.000	0.000	1.302	1.016	0.998	0.993	0.987	1.078	discard	minimax bf16 decode producer role swap V-before-K; no +0.003 floor and long-context floors fall below parity, reverting
be598c8d	bf16	0.000	0.000	0.000	0.000	0.000	1.329	1.020	1.013	1.005	1.000	1.082	discard	minimax bf16 decode V plane 128B stride gap; e2048 reaches +0.003 but e64/e8192/e32768 and geo regress versus active 446cb952, reverting
602542e6	bf16	0.000	0.000	0.000	0.000	0.000	1.365	1.015	1.011	1.012	0.999	1.088	candidate	minimax bf16 decode row0 P-pack specialization; e64 improves strongly and e8192 reaches +0.003, but e512/e32768 and geo regress versus active 446cb952, rerun before keep/revert
602542e6	bf16	0.000	0.000	0.000	0.000	0.000	1.318	1.013	1.007	1.007	0.994	1.084	discard	minimax bf16 decode row0 P-pack specialization rerun; e64/e8192 lift does not confirm and e32768 falls below parity, reverting
db43ffd2	bf16	0.000	0.000	0.000	0.000	0.000	1.248	0.987	1.000	1.003	0.996	1.061	discard	minimax bf16 decode paired persistent chunks; even chunks process two chunk windows and odd chunks write neutral partials, but e64/e512/e2048/e8192/e32768 and geo all regress, reverting
1b4cf475	bf16	0.000	0.000	0.000	0.000	0.000	1.314	1.014	1.009	1.004	1.006	1.082	discard	minimax bf16 decode row0 QK masked accumulators; avoids carrying unused row-slot score regs and fuses their -inf mask write, but e64/e512/e2048/e8192 and geo regress versus active 446cb952, reverting
ce57b7bb	bf16	0.000	0.000	0.000	0.000	0.000	1.273	1.013	1.006	1.001	1.002	1.077	discard	minimax bf16 decode direct split output stores; bypasses sDecodeStage/v128 epilogue and writes partial BF16 output directly, but coalescing loss dominates and all floors plus geo regress versus active 446cb952, reverting
c1bbca97	bf16	0.000	0.000	0.000	0.000	0.000	1.314	1.018	1.009	1.004	1.006	1.083	discard	minimax bf16 decode merge async issue reorder; issues the next staged partial load before normalized merge math, but e64/e512/e2048/e8192 and geo regress versus active 446cb952 with no +0.003 floor, reverting
785dabfa	bf16	0.000	0.000	0.000	0.000	0.000	1.303	1.013	1.008	1.005	0.998	1.079	discard	minimax bf16 decode merge bdy8 fanout; doubles BF16 paired-load merge y fanout for head128, but e64/e512/e2048/e32768 and geo regress and e32768 drops below parity, reverting
cf179e46	bf16	0.000	0.000	0.000	0.000	0.000	1.331	1.020	1.014	1.005	1.006	1.083	discard	minimax bf16 decode row0 PV masked accumulators; zeros/skips unused PV MMA row-slot lanes 2/3/6/7 in the row0 helper, improving e2048 but regressing e64/e8192 and geo versus active 446cb952, reverting
84971712	bf16	0.000	0.000	0.000	0.000	0.000	1.312	1.013	1.009	1.004	0.998	1.081	discard	minimax bf16 decode fused row0 QK/P path; stacks row0 QK lane pruning with BF16 row0 P-pack so score path stays four-lane end-to-end, but e64/e512/e2048/e8192/e32768 and geo all regress versus active 446cb952, reverting
d86ffb28	bf16	0.000	0.000	0.000	0.000	0.000	1.320	1.017	1.009	1.007	0.993	1.084	discard	minimax bf16 decode row0 unit V-scale elision; skips p_frag*v_scale in the row0 PV helper when no V descale tensor is present, but long-context e32768 falls below parity and e64/e512/e8192/geo regress versus active 446cb952, reverting
0c9c7c12	bf16	0.000	0.000	0.000	0.000	0.000	0.636	0.248	0.228	0.201	0.188	0.299	discard	minimax bf16 decode 128-wide TMA planes; collapses BF16 minimax K/V from two 64-wide TMA planes to one 128-wide plane and retargets row0 ldmatrix offsets, but output is invalid (b12x/ref rel_l2 about 1.24-1.36) and all speed floors collapse, reverting
fe16d0e2	bf16	0.000	0.000	0.000	0.000	0.000	0.682	0.346	0.325	0.333	0.332	0.457	discard	minimax bf16 decode V-only 128-wide TMA plane; keeps K on 64-wide planes and collapses V to one 128-wide plane, but output is invalid (b12x/ref rel_l2 about 1.24-1.36) and speed floors collapse, reverting
94f93495	bf16	0.000	0.000	0.000	0.000	0.000	1.318	1.025	1.014	1.007	1.000	1.081	candidate	minimax bf16 decode row0 QK paired K loads; preloads the second K ldmatrix group before the first QK MMA, with e512/e2048 clearing +0.003 but e64/e8192/e32768 and geo below active 446cb952, rerun before keep/revert
94f93495	bf16	0.000	0.000	0.000	0.000	0.000	1.329	1.022	1.011	1.007	1.000	1.086	discard	minimax bf16 decode row0 QK paired K loads rerun; e512 confirms at +0.003 but e2048 lift does not confirm and e64/e8192/e32768 plus geo remain below active 446cb952, reverting
911c9049	bf16	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	crash	minimax bf16 decode V TMA stride padding; pads BF16 minimax V shared TMA rows by one 128b slot while keeping 64-wide planes, but graph capture trips CUDA_ERROR_MISALIGNED_ADDRESS, reverting
d69c88e3	bf16	0.000	0.000	0.000	0.000	0.000	1.267	1.016	1.000	0.998	1.001	1.071	discard	minimax bf16 decode V TMA plain layout; uses row-major V TMA smem layout for BF16 minimax and bypasses 128b swizzle in BF16 PV loads, but all floor cells/geo regress versus active 446cb952, reverting
13815f75	bf16	0.000	0.000	0.000	0.000	0.000	1.324	1.020	1.010	1.004	0.996	1.082	discard	minimax bf16 decode row0 full-tile QK mask elision; skips key_local tail checks on full 64-token row0 BF16 QK tiles, but e64/e8192/e32768 and geo regress versus active 446cb952, reverting
6c97d2fd	bf16	0.000	0.000	0.000	0.000	0.000	1.255	1.019	0.996	0.995	0.990	1.069	discard	minimax bf16 decode K TMA plain layout; uses row-major K TMA smem layout for BF16 minimax and bypasses 128b swizzle in BF16 QK loads, but e64/e2048/e8192/e32768 and geo regress versus active 446cb952, reverting
fb7a5bf9	bf16	0.000	0.000	0.000	0.000	0.000	1.336	1.030	1.014	1.013	0.999	1.086	discard	minimax bf16 decode bs2 persistent chunk remap; halves bs2 long-context split count by moving bs2 from 32-way to 16-way chunks, improving bs2 16K/32K but regressing bs2 131K below FA2 and geo/floor versus active 446cb952, reverting
f37f7561	bf16	0.000	0.000	0.000	0.000	0.000	1.307	1.021	1.015	1.007	1.003	1.082	discard	minimax bf16 decode V 32-row TMA boxes; splits V TMA into low/high 32x64 row boxes while K stays 64x64, correctness clean and e2048/bs4-long lift but e64/e8192/e32768 and geo regress versus active 446cb952, reverting
5a2bdef9	bf16	0.000	0.000	0.000	0.000	0.000	1.301	1.013	0.999	0.999	0.996	1.075	discard	minimax bf16 decode row0 warp-vector writeback; gathers BF16 row0 merge packs with warp shuffles and writes v4.u32 directly, correctness clean but long-context floors and geo regress versus active 446cb952, reverting
f2339c60	bf16	0.000	0.000	0.000	0.000	0.000	1.331	1.030	1.001	0.994	0.986	1.082	discard	minimax bf16 decode K-ahead producer issue; dedicated producer sends next K tile before current V, correctness clean and e512 lifts but V delay collapses long-context floors versus active 446cb952, reverting
f2ba059c	bf16	0.000	0.000	0.000	0.000	0.000	1.327	1.015	1.010	1.005	1.000	1.084	discard	minimax bf16 decode writer-warp merge fold; final BF16 regular decode merge fold and output write restricted to ty0 after per-warp chunk folds, correctness clean but e512/e32768 and geo regress versus active 446cb952, reverting
1aa790f2	bf16	0.000	0.000	0.000	0.000	0.000	1.334	1.014	1.009	1.007	1.000	1.084	discard	minimax bf16 decode inline regular decode chunk counts; forward and merge compute split count from cache_len/kv_chunk_size instead of o_indptr/merge_indptr for full-window BF16 regular decode, correctness clean but floor and geo regress versus active 446cb952, reverting
4b17c476	bf16	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	crash	minimax bf16 decode V row4 TMA swizzle; V exact-plane TMA uses row4 shared-memory permutation with matching BF16 row0 PV ldmatrix offsets, but capture fails with CUDA_ERROR_MISALIGNED_ADDRESS before ratios, reverting
41bf4e26	bf16	0.000	0.000	0.000	0.000	0.000	1.320	1.013	1.009	1.003	1.009	1.084	discard	minimax bf16 decode row0 fused P D update; BF16 row0 uses compact row0 p packer, accumulates d in the same helper, and skips rowsum MMA, benchmark check completes but e64/e512/e8192 and geo regress versus active 446cb952, reverting
285d7f58	bf16	0.000	0.000	0.000	0.000	0.000	1.366	0.321	1.026	0.594	1.001	1.060	discard	minimax bf16 decode persistent chunk budget; planner halves effective BF16 minimax chunk count by lowering 128x128 GQA6 budget, correctness clean and some long cells lift but bs2 ctx16384/65536 collapse, reverting
3cde9d5a	bf16	0.000	0.000	0.000	0.000	0.000	1.291	1.031	1.019	1.011	1.006	1.090	discard	minimax bf16 decode row0 scaled score update; BF16 row0 keeps m_frag in scaled log2 score units and skips the later m scaling pass, correctness clean and mid-context floors lift but bs2 short-context floor regresses badly versus active 446cb952, reverting
984db010	bf16	0.000	0.000	0.000	0.000	0.000	1.330	1.044	1.025	1.014	1.016	1.097	keep	minimax bf16 decode graph-safe bucket chunk retune; harvested rs-3 f927d8d3 bs4 chunk-cap idea and extended caps to bs1/bs2/bs3, complete checked run beats active 446cb952 geo by +0.006 and lifts all mid/long floors while e64 regresses
ab34eb86	bf16	0.000	0.000	0.000	0.000	0.000	1.337	1.047	1.028	1.018	1.017	1.100	keep	minimax bf16 decode bs2 long chunk split; keeps bs2 16k-65k at 16 chunks but returns 131k to the default 32-chunk bucket, complete checked run improves over 984db010 on geo and all floors except only marginal e32768
8d8db84f	bf16	0.000	0.000	0.000	0.000	0.000	1.182	0.958	1.020	0.976	1.006	1.083	discard	minimax bf16 decode restore bs3 default chunks; bs3 default 16-chunk replay regresses badly at 16k and 65k despite clean correctness, dropping e512/e8192 below parity and geo below ab34eb86, reverting
227b5c03	bf16	0.000	0.000	0.000	0.000	0.000	1.317	1.051	1.032	1.023	1.014	1.096	candidate	minimax bf16 decode bs2 mid chunk cap12; improves e512/e2048/e8192 by at least +0.003 over ab34eb86, but e64/e32768 and geo regress, rerun before keep or revert
227b5c03	bf16	0.000	0.000	0.000	0.000	0.000	1.329	1.049	1.029	1.022	1.016	1.097	discard	minimax bf16 decode bs2 mid chunk cap12 rerun; e8192 lift confirms but e512/e2048 no longer clear +0.003 over ab34eb86 and e64/e32768/geo trail, reverting to bs2 cap16 mid bucket
cccc2b39	bf16	0.000	0.000	0.000	0.000	0.000	1.325	1.045	1.030	1.015	1.001	1.095	discard	minimax bf16 decode bs3 chunk cap10; graph-safe checked run lowers bs3 to 10 chunks but e64/e512/e8192/e32768 and geo regress versus ab34eb86, reverting to bs3 cap12
1cba113c	bf16	0.000	0.000	0.000	0.000	0.000	1.327	1.051	1.029	1.022	1.011	1.097	candidate	minimax bf16 decode bs3 long chunk split; releases only bs3 131k/max bucket back to default chunks, lifting e512/e8192 about +0.004 over ab34eb86 but e64/e32768/geo regress, rerunning before keep or revert
1cba113c	bf16	0.000	0.000	0.000	0.000	0.000	0.574	0.771	1.023	1.013	1.010	1.040	discard	minimax bf16 decode bs3 long chunk split rerun; candidate failed confirmation with bs3 short/mid collapse despite clean correctness, reverting to bs3 cap12 across long buckets
cfe93590	bf16	0.000	0.000	0.000	0.000	0.000	1.395	0.703	0.977	1.021	1.003	1.093	candidate	minimax bf16 decode bs2 mid chunk cap14; target bs2 16k/32k/65k cells lift versus ab34eb86, but unrelated bs3 short/mid collapse spoils floors, rerunning before keep or revert
cfe93590	bf16	0.000	0.000	0.000	0.000	0.000	1.357	1.052	1.031	1.024	1.003	1.099	discard	minimax bf16 decode bs2 mid chunk cap14 rerun; e64/e512/e2048/e8192 lifts confirm, but repeatable bs2 131k/e32768 regression and lower geo than ab34eb86 make the tradeoff weaker, reverting
003ee697	bf16	0.000	0.000	0.000	0.000	0.000	1.329	1.047	1.029	1.025	1.014	1.097	candidate	minimax bf16 decode bs2 upper-mid chunk cap14; only 32k/65k bs2 replay buckets move to 14 chunks, e8192 clears +0.003 over ab34eb86 but e64/e32768/geo regress, rerunning before keep or revert
003ee697	bf16	0.000	0.000	0.000	0.000	0.000	0.419	0.419	1.031	0.987	0.916	0.991	discard	minimax bf16 decode bs2 upper-mid chunk cap14 rerun; candidate failed confirmation with bs2 short/16k/65k/131k collapse despite clean correctness, reverting to bs2 cap16 for the full mid bucket
9431e09d	bf16	0.000	0.000	0.000	0.000	0.000	1.359	1.042	1.024	1.011	1.003	1.098	candidate	minimax bf16 decode bs1 max-context chunk cap24; bs1 capture/max bucket moves from 16 to 24 chunks and e64 floor lifts strongly, but long floors and geo trail ab34eb86, rerunning before keep or revert
9431e09d	bf16	0.000	0.000	0.000	0.000	0.000	1.360	1.042	1.024	1.013	1.001	1.096	discard	minimax bf16 decode bs1 max-context chunk cap24 rerun; e64 lift confirms, but e512/e2048/e8192/e32768 and geo stay below ab34eb86, reverting to bs1 cap16 across long buckets
f5de4968	bf16	0.000	0.000	0.000	0.000	0.000	1.144	1.035	1.021	1.021	1.012	1.114	candidate	minimax bf16 decode bs3 max-context chunk cap14; bs3 capture/max bucket moves from 12 to 14 chunks and geo spikes to 1.114 with e8192 at +0.003, but short/mid floors regress and bs1 timings look anomalous, rerunning before keep or revert
f5de4968	bf16	0.000	0.000	0.000	0.000	0.000	1.341	1.048	1.024	1.019	1.018	1.097	discard	minimax bf16 decode bs3 max-context chunk cap14 rerun; anomalous geo spike did not confirm, e64 lift remains but e2048 and geo trail ab34eb86, reverting to bs3 cap12 across long buckets
08d4fb77	bf16	0.000	0.000	0.000	0.000	0.000	1.336	1.052	1.025	1.014	0.961	1.095	candidate	minimax bf16 decode bs2 max-context 48-way split; e512 clears +0.003 over ab34eb86 but targeted bs2 131k collapses below parity, rerunning before revert under candidate threshold rule
08d4fb77	bf16	0.000	0.000	0.000	0.000	0.000	1.339	1.052	1.021	1.016	0.956	1.094	discard	minimax bf16 decode bs2 max-context 48-way split rerun; e512 lift confirms but bs2 131k repeatably collapses below parity and e2048/e32768/geo trail ab34eb86, reverting
9021fc0f	bf16	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	crash	minimax bf16 decode bs1 max-context 12-way split; capture bucket allocates only 12 partial rows while 16k-65k replay LUT still needs 16, producing graph workspace capacity blocks, reverting
674cf445	bf16	0.000	0.000	0.000	0.000	0.000	1.334	0.881	0.852	0.825	0.829	1.050	discard	minimax bf16 decode bs1 long-context chunk cap12; graph-safe but under-splits bs1 16k-131k and drives all long bs1 ratios below parity, reverting to bs1 cap16
f14e593f	bf16	0.000	0.000	0.000	0.000	0.000	1.360	1.050	1.031	1.015	1.011	1.098	candidate	minimax bf16 decode bs3 long-context chunk cap11; e64/e512/e2048 clear +0.003 over ab34eb86 but e8192/e32768 and geo trail, rerunning before keep or revert
f14e593f	bf16	0.000	0.000	0.000	0.000	0.000	1.338	1.051	1.025	1.017	1.019	1.101	keep	minimax bf16 decode bs3 long-context chunk cap11 rerun; e512 +0.004 over ab34eb86 confirms and geomean edges up despite e2048 tradeoff, keeping as current probe stack
b73f7fd8	bf16	0.000	0.000	0.000	0.000	0.000	1.348	1.049	1.030	1.017	1.014	1.098	candidate	minimax bf16 decode bs3 16k-only chunk cap11 with cap12 restored for longer contexts; e2048 improves over f14e593f but e512/e32768/geo regress, rerunning before keep or revert
b73f7fd8	bf16	0.000	0.000	0.000	0.000	0.000	1.328	1.052	1.027	1.016	1.004	1.100	discard	minimax bf16 decode bs3 16k-only chunk cap11 rerun; e512 repeats but e2048 lift does not and e32768 collapses versus f14e593f, reverting to bs3 cap11 across long buckets
6652d47a	bf16	0.000	0.000	0.000	0.000	0.000	1.342	1.005	1.004	0.992	0.988	1.088	discard	minimax bf16 decode bs1 long-context chunk cap15; graph-safe but bs1 16k-131k falls to parity/below parity and long minimax floors collapse, reverting to bs1 cap16
2471f5ce	bf16	0.000	0.000	0.000	0.000	0.000	0.771	1.046	1.024	1.012	0.988	1.095	discard	minimax bf16 decode bs2 max-context chunk cap28; targeted bs2 131k drops to 1.009 and noisy bs1 outliers collapse e64/e32768, reverting to default bs2 max split
01bf2102	bf16	0.000	0.000	0.000	0.000	0.000	1.173	1.058	1.017	1.007	1.004	1.091	candidate	minimax bf16 decode bs2 mid-context chunk cap18; e512 and bs2 32k improve but bs4 timing outliers and bs2 long regressions crush floors, rerunning before keep or revert
01bf2102	bf16	0.000	0.000	0.000	0.000	0.000	0.456	0.363	1.032	0.790	1.017	0.979	discard	minimax bf16 decode bs2 mid-context chunk cap18 rerun; bs2 128/16k/65k collapse and geo falls below parity despite e2048 lift, reverting to bs2 cap16 mid buckets
28872869	bf16	0.000	0.000	0.000	0.000	0.000	1.354	1.048	1.033	1.017	0.999	1.096	candidate	minimax bf16 decode bs2 32k-only chunk cap18; e2048 floor rises clearly but e512 slips and bs2 131k noise drops e32768, rerunning before keep or revert
28872869	bf16	0.000	0.000	0.000	0.000	0.000	1.328	1.047	1.033	1.014	1.009	1.099	discard	minimax bf16 decode bs2 32k-only chunk cap18 rerun; e2048 lift confirms but e512/e8192/e32768 and geo all trail f14e593f, reverting
890a05ed	bf16	0.000	0.000	0.000	0.000	0.000	1.341	1.047	1.024	1.014	1.019	1.099	discard	minimax bf16 decode bs2 32k-only chunk cap17; milder cap loses the e2048 lift while e512/e8192/geo still trail f14e593f, reverting
78d5ad93	bf16	0.000	0.000	0.000	0.000	0.000	0.655	0.383	0.511	1.018	1.020	0.993	discard	minimax bf16 decode bs3 long-context chunk cap13; no +0.003 floor lift over f14e593f and bs2 mid-context timings collapse, reverting to bs3 cap11
8560bdab	bf16	0.000	0.000	0.000	0.000	0.000	1.335	1.044	1.029	1.016	1.020	1.098	candidate	minimax bf16 decode bs2 65k-only chunk cap14; e2048 floor clears +0.003 over f14e593f but e512 and geo regress while target e8192 only moves inside the non-floor bs2 cell, rerunning before keep or revert
8560bdab	bf16	0.000	0.000	0.000	0.000	0.000	1.353	1.052	1.025	1.023	1.016	1.098	keep	minimax bf16 decode bs2 65k-only chunk cap14 rerun; target e8192 floor lift confirms at +0.006 and e512 edges up, keeping as probe stack despite e32768 and geo tradeoff for a follow-on long-tail retune
101b2394	bf16	0.000	0.000	0.000	0.000	0.000	1.336	1.046	1.020	1.018	1.018	1.098	discard	minimax bf16 decode bs2 65k-only chunk cap15; conservative step back toward cap16 loses the cap14 e8192 lift and has no +0.003 floor gain over f14e593f, reverting to cap14 probe stack
d4e65276	bf16	0.000	0.000	0.000	0.000	0.000	0.573	0.896	1.016	0.998	1.001	1.047	discard	minimax bf16 decode bs2 65k-only chunk cap13; stronger undersplit worsens cap14 with bs3 timing outliers and bs2 131k near parity, reverting to cap14 probe stack
fb89542c	bf16	0.000	0.000	0.000	0.000	0.000	1.348	1.046	1.027	1.024	1.021	1.128	candidate	minimax bf16 decode bs2 65k cap14 plus max-context 34-way split; e8192 remains above f14e593f and e32768 recovers versus cap14, but geomean includes a bs4 FA2 outlier, rerunning before keep or revert
fb89542c	bf16	0.000	0.000	0.000	0.000	0.000	1.331	1.043	1.023	0.968	1.014	1.187	discard	minimax bf16 decode bs2 65k cap14 plus max-context 34-way split rerun; e32768 recovery and e8192 floor do not confirm, with bs1 65k outlier crushing the floor, reverting to cap14 probe stack
